,maxThroughput,minMLUObj,minMLUConstraint
0,0.010298967361450195,0.014873981475830078,0.012996912002563477
1,0.012273073196411133,0.01810598373413086,0.012613058090209961
2,0.01545405387878418,0.026784896850585938,0.025746822357177734
3,0.05557608604431152,0.11691093444824219,0.1636960506439209
4,0.18874502182006836,0.5035970211029053,0.6339118480682373
5,0.6390001773834229,1.6162190437316895,2.067586898803711
6,1.5784389972686768,3.7350399494171143,5.793345928192139
7,3.0727999210357666,6.363446950912476,12.486078023910522
8,15.859698057174683,9.18281102180481,18.293231964111328
9,272.1124150753021,41.92847800254822,96.4457061290741
10,1232.0791881084442,100.06228590011597,418.5463309288025
